Value	BitNum	Word	WordVal	WordHex
0	3	27	0	
1	4	27	1	
0	5	27	2	
0	6	27	4	
0	7	27	8	
0	8	27	16	
0	9	27	32	
0	10	27	64	
0	11	27	128	
1	12	27	257	
0	13	27	514	
0	14	27	1028	
0	15	27	2056	0x808
0	0	28	0	
0	1	28	0	
0	2	28	0	
0	3	28	0	
1	4	28	1	
0	5	28	2	
0	6	28	4	
0	7	28	8	
1	8	28	17	
1	9	28	35	
1	10	28	71	
1	11	28	143	
1	12	28	287	
0	13	28	574	
0	14	28	1148	
0	15	28	2296	0x8F8
0	0	29	0	
0	1	29	0	
0	2	29	0	
0	3	29	0	
1	4	29	1	
0	5	29	2	
0	6	29	4	
0	7	29	8	
0	8	29	16	
0	9	29	32	
0	10	29	64	
0	11	29	128	
1	12	29	257	
0	13	29	514	
0	14	29	1028	
0	15	29	2056	0x808
0	0	30	0	
0	1	30	0	
0	2	30	0	
0	3	30	0	
1	4	30	1	
0	5	30	2	
0	6	30	4	
0	7	30	8	
1	8	30	17	
1	9	30	35	
1	10	30	71	
1	11	30	143	
1	12	30	287	
1	13	30	575	
1	14	30	1151	
1	15	30	2303	0x8FF
0	0	31	0	
0	1	31	0	
0	2	31	0	
0	3	31	0	
0	4	31	0	
0	5	31	0	
0	6	31	0	
0	7	31	0	
0	8	31	0	
0	9	31	0	
0	10	31	0	
0	11	31	0	
0	12	31	0	
0	13	31	0	
0	14	31	0	
0	15	31	0	0x0
0	0	32	0	
0	1	32	0	
0	2	32	0	
0	3	32	0	
1	4	32	1	
0	5	32	2	
0	6	32	4	
0	7	32	8	
0	8	32	16	
0	9	32	32	
0	10	32	64	
0	11	32	128	
1	12	32	257	
1	13	32	515	
1	14	32	1031	
1	15	32	2063	0x80F
0	0	33	0	
0	1	33	0	
0	2	33	0	
0	3	33	0	
1	4	33	1	
0	5	33	2	
0	6	33	4	
0	7	33	8	
0	8	33	16	
0	9	33	32	
0	10	33	64	
0	11	33	128	
1	12	33	257	
0	13	33	514	
0	14	33	1028	
0	15	33	2056	0x808
0	0	34	0	
0	1	34	0	
0	2	34	0	
